                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0242,                 3.7039,                 2.2625,                0.00307,                0.91721,                0.11273,                0.03096,                 2.2633,                  4.567,                 3.0923,               0.000375,               0.000375,               0.000375
                      2,                 1.7103,                  3.238,                 2.0131,                0.00331,                0.92411,                0.12475,                0.03919,                 2.0933,                 4.2143,                 2.8914,              0.0007474,              0.0007474,              0.0007474
                      3,                 1.8275,                 3.1785,                 2.0884,                0.57474,                0.20089,                0.11788,                0.03386,                 2.1913,                 6.9834,                 3.1564,              0.0011045,              0.0011045,              0.0011045
                      4,                 1.8416,                 3.0732,                 2.1365,                0.78703,                0.05208,                0.05997,                0.01465,                 2.2576,                 14.221,                 3.9276,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.857,                 2.9409,                 2.1117,                0.29491,                0.29194,                0.08657,                0.02535,                 2.6128,                 4.5363,                 3.5439,               0.001151,               0.001151,               0.001151
                      6,                 1.8625,                 2.8139,                 2.0889,                0.34989,                0.44318,                0.21074,                0.07669,                 2.1588,                 4.7301,                 2.7619,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.8216,                 2.7646,                 2.0643,                0.10919,                 0.3449,                0.19466,                0.04838,                 2.3188,                 3.2267,                 2.8405,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.8253,                 2.6619,                 2.0264,                0.15931,                0.51981,                0.25164,                0.08426,                 2.0805,                 3.0484,                   2.65,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.8311,                 2.6291,                 2.0592,                0.19959,                 0.6299,                 0.2861,                  0.095,                 2.1521,                 3.2023,                 2.6435,               0.001052,               0.001052,               0.001052
                     10,                 1.7762,                 2.5875,                 2.0345,                0.19865,                0.59102,                0.28292,                0.09895,                  2.061,                  3.744,                 2.6097,              0.0010273,              0.0010273,              0.0010273
                     11,                  1.799,                  2.558,                 2.0227,                0.45797,                0.40346,                0.27962,                0.09728,                 2.0316,                  2.663,                 2.4927,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.7756,                 2.4571,                 1.9798,                0.43115,                0.50709,                  0.316,                 0.1203,                 2.0488,                 2.5642,                 2.4507,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.7587,                 2.4331,                 1.9817,                0.19682,                0.56929,                0.28364,                0.09612,                 2.0309,                 2.4913,                 2.4868,               0.000953,               0.000953,               0.000953
                     14,                 1.7344,                 2.4961,                 1.9695,                0.43068,                0.48282,                0.28941,                0.10445,                 1.9963,                 2.5013,                 2.3669,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.7405,                 2.4205,                 1.9298,                0.21253,                0.67903,                0.31937,                0.11034,                 2.0553,                 2.5343,                  2.493,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.7125,                 2.3738,                 1.9193,                 0.2599,                0.59056,                0.32878,                0.10985,                  2.123,                 2.5151,                 2.5438,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.7905,                 2.3586,                 1.9976,                 0.3006,                0.63006,                0.33865,                0.12317,                  2.069,                 2.2649,                 2.4897,               0.000854,               0.000854,               0.000854
                     18,                  1.785,                 2.3509,                 1.9672,                 0.2383,                0.59681,                0.29415,                0.10524,                 2.1205,                 2.4712,                 2.5268,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.7314,                 2.3123,                 1.9315,                0.54313,                0.37946,                0.33769,                0.12114,                 2.0744,                 2.3352,                 2.4549,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.8386,                 2.3418,                 1.9711,                0.25226,                0.54178,                0.31754,                 0.1235,                 2.0605,                 2.1595,                  2.435,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.7293,                 2.2732,                 1.9228,                0.24852,                  0.654,                0.30083,                0.10235,                 2.1567,                 2.3136,                 2.5649,               0.000755,               0.000755,               0.000755
                     22,                 1.6993,                 2.2506,                 1.9145,                0.28116,                0.51047,                0.32227,                0.11337,                 2.1244,                 2.2568,                 2.5155,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.6694,                 2.2491,                 1.8886,                0.26854,                0.59927,                0.33971,                0.12349,                 2.1502,                  2.171,                 2.5167,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.7724,                 2.2602,                 1.9571,                0.46128,                0.48187,                0.37253,                0.13118,                  2.046,                 2.2085,                   2.46,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.6725,                 2.2239,                 1.9145,                0.23266,                0.66618,                0.36221,                0.13967,                 1.9929,                 2.2351,                 2.4285,               0.000656,               0.000656,               0.000656
                     26,                 1.6931,                 2.1952,                 1.9174,                0.22148,                0.50325,                0.30649,                0.10934,                 2.1951,                 2.1611,                 2.5419,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.7535,                   2.24,                 1.9707,                0.24596,                0.45634,                0.35959,                0.12827,                 2.0468,                 2.1422,                 2.4258,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.7252,                 2.1907,                 1.9391,                0.27372,                0.58325,                0.39486,                0.14473,                 2.0726,                 2.1012,                  2.444,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.7525,                 2.1843,                 1.9257,                0.29152,                0.56028,                 0.3704,                0.14133,                 2.0831,                 2.1764,                 2.4631,               0.000557,               0.000557,               0.000557
                     30,                 1.6652,                 2.1805,                 1.9128,                0.50787,                0.43917,                0.38525,                0.15046,                 2.0248,                 2.1335,                 2.4157,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.7146,                 2.1509,                 1.9378,                 0.3372,                0.50749,                 0.4004,                0.14766,                 2.0392,                 2.1599,                 2.4322,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.7103,                 2.2135,                 1.9094,                0.28216,                0.58766,                0.39596,                 0.1498,                 2.0951,                 2.1383,                 2.5298,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.6821,                 2.1867,                  1.918,                0.31442,                0.51013,                0.39464,                0.15008,                 2.0663,                 2.1042,                 2.4725,               0.000458,               0.000458,               0.000458
                     34,                 1.6367,                  2.135,                 1.8887,                0.31011,                0.50411,                 0.4039,                0.14131,                 2.1173,                 2.0775,                 2.5109,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.6954,                  2.146,                 1.9101,                 0.3166,                0.56559,                0.38777,                0.14784,                 2.0843,                 2.0792,                  2.464,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.6648,                 2.0887,                 1.8791,                 0.2961,                0.55611,                0.37635,                0.13608,                 2.1113,                 2.0489,                 2.4707,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.6691,                 2.1189,                 1.9148,                 0.3261,                0.53536,                0.38523,                0.14829,                  2.113,                 2.0583,                 2.4906,               0.000359,               0.000359,               0.000359
                     38,                 1.6779,                 2.1162,                 1.9151,                0.29912,                0.57684,                0.39531,                0.14589,                 2.0974,                 2.0927,                 2.5132,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.6543,                 2.0996,                 1.8778,                0.29327,                0.51558,                0.38989,                0.14179,                 2.1315,                 2.0606,                 2.5204,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.6457,                 2.1153,                 1.8718,                0.33968,                0.50403,                0.41291,                 0.1427,                 2.1293,                 2.0387,                 2.5429,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.8134,                 1.9918,                 2.2654,                0.30276,                0.57282,                0.36688,                0.13609,                 2.0491,                 2.1125,                 2.4914,                0.00026,                0.00026,                0.00026
                     42,                 1.8489,                 1.9711,                 2.2916,                0.30562,                0.58801,                0.40251,                0.15124,                 2.0601,                 2.0576,                 2.4654,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.8323,                 1.9153,                 2.2712,                0.29696,                0.51252,                0.40917,                0.15087,                  2.059,                 2.0689,                 2.4594,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.8356,                 1.8609,                 2.2567,                0.30149,                0.53114,                0.38995,                0.15216,                 2.0248,                 2.1249,                 2.4414,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.8245,                 1.9132,                  2.222,                0.30554,                 0.5329,                0.41114,                0.15851,                 2.0344,                 2.0696,                 2.4331,               0.000161,               0.000161,               0.000161
                     46,                 1.8312,                 1.8815,                 2.2424,                0.29092,                 0.5671,                 0.3959,                0.15237,                 2.0292,                 2.0637,                 2.4316,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.8075,                 1.8451,                  2.219,                0.28571,                0.51721,                0.37471,                0.15052,                 2.0229,                 2.0904,                 2.4336,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.7941,                  1.853,                 2.2434,                0.28108,                0.59197,                0.38624,                0.15368,                 2.0221,                 2.0763,                 2.4472,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.7599,                 1.8369,                 2.1933,                0.27443,                0.55422,                0.38776,                0.15649,                 2.0333,                 2.0607,                 2.4477,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.8045,                 1.7923,                 2.2148,                0.28359,                0.60398,                0.38424,                0.15258,                 2.0446,                 2.0437,                 2.4597,              3.725e-05,              3.725e-05,              3.725e-05
